Year,Label (Grouping),United States!!Estimate,"Inglewood city, California!!Estimate"
2015,        No bedroom,740,773
2015,        1 bedroom,779,934
2015,        2 bedrooms,912,"1,246"
2015,        3 bedrooms,"1,089","1,519"
2015,        4 bedrooms,"1,355","1,958"
2015,        5 or more bedrooms,"1,433","1,364"
2016,        No bedroom,765,789
2016,        1 bedroom,801,955
2016,        2 bedrooms,932,"1,291"
2016,        3 bedrooms,"1,105","1,561"
2016,        4 bedrooms,"1,375","1,884"
2016,        5 or more bedrooms,"1,462","1,372"
2017,        No bedroom,803,818
2017,        1 bedroom,836,987
2017,        2 bedrooms,964,"1,343"
2017,        3 bedrooms,"1,133","1,634"
2017,        4 bedrooms,"1,411","1,609"
2017,        5 or more bedrooms,"1,509","1,926"
2018,        No bedroom,845,840
2018,        1 bedroom,874,"1,053"
2018,        2 bedrooms,"1,002","1,407"
2018,        3 bedrooms,"1,168","1,700"
2018,        4 bedrooms,"1,453","1,711"
2018,        5 or more bedrooms,"1,551","2,558"
2019,        No bedroom,934,823
2019,        1 bedroom,953,"1,255"
2019,        2 bedrooms,"1,086","1,624"
2019,        3 bedrooms,"1,217","1,820"
2019,        4 bedrooms,"1,519","2,913"
2019,        5 or more bedrooms,"1,586",-
2020,        No bedroom,928,954
2020,        1 bedroom,947,"1,177"
2020,        2 bedrooms,"1,080","1,578"
2020,        3 bedrooms,"1,223","1,813"
2020,        4 bedrooms,"1,528","2,375"
2020,        5 or more bedrooms,"1,629","2,586"
2021,        No bedroom,"1,057","1,044"
2021,        1 bedroom,"1,042","1,276"
2021,        2 bedrooms,"1,185","1,742"
2021,        3 bedrooms,"1,329","1,797"
2021,        4 bedrooms,"1,645","2,523"
2021,        5 or more bedrooms,"1,767",-
2022,        No bedroom,"1,152","1,569"
2022,        1 bedroom,"1,146","1,509"
2022,        2 bedrooms,"1,294","1,747"
2022,        3 bedrooms,"1,449","2,178"
2022,        4 bedrooms,"1,786","1,761"
2022,        5 or more bedrooms,"1,902",-
2023,        No bedroom,"1,267","1,302"
2023,        1 bedroom,"1,234","1,586"
2023,        2 bedrooms,"1,401","1,802"
2023,        3 bedrooms,"1,572","2,120"
2023,        4 bedrooms,"1,951","2,311"
2023,        5 or more bedrooms,"2,014",-
